gene,logFC,AveExpr,PValue,FDR,timepoint,cell_type
CCR6,-0.242253725,3.7018113125,0.626769254947799,0.987663198556078,1_month,Naive CD4+ T Cell
CXCR5,-0.0138715999999999,2.8648463,0.976805838204295,0.99824462536756,1_month,Naive CD4+ T Cell
ALAS2,-1.01958185,2.1983461,0.628482175717992,0.987663198556078,1_month,Naive CD4+ T Cell
CXCR4,0.0159759249999993,6.9016185875,0.875178497314657,0.988303492707099,1_month,Naive CD8+ T Cell
CCR4,0.25194561,1.00834008,0.726666173399551,0.971312680823011,1_month,Naive CD8+ T Cell
CCR6,-0.1721437975,0.51807996375,0.683711967321996,0.966277207798677,1_month,Naive CD8+ T Cell
CXCR5,0.538362275,1.2167812375,0.239293366672891,0.957982426504996,1_month,Naive CD8+ T Cell
ALAS2,0.17871969,0.21176878,0.611949017774865,0.960828402908526,1_month,Naive CD8+ T Cell
CXCR4,0.15764515,6.740532975,0.637454532317634,0.957938672583037,1_month,NK Cell
CCR4,-0.13322468,0.1240118525,0.544457850057695,0.951386469899092,1_month,NK Cell
CCR6,-0.2056781625,0.34440944375,0.445974255698588,0.948057230533761,1_month,NK Cell
CXCR5,-0.13414619,0.3223367775,0.509033021736571,0.948057230533761,1_month,NK Cell
ALAS2,-0.2101694925,0.39885657125,0.662071069851004,0.958373252927874,1_month,NK Cell
CXCR4,-0.0345722249999998,7.0973798875,0.87579963871956,0.999920590709774,6_month,B Cell
CCR4,-0.10355275,0.9981975,0.756713383562554,0.999920590709774,6_month,B Cell
CCR6,-0.121087425,3.4773009875,0.578884935309629,0.999920590709774,6_month,B Cell
CXCR5,-0.0988091249999998,5.0265244875,0.728633698445157,0.999920590709774,6_month,B Cell
ALAS2,-0.8510547325,0.57012810875,0.246526382228237,0.999920590709774,6_month,B Cell
CXCR4,0.226643225,5.6063836125,0.490273773321891,0.999482918316072,6_month,CD14+ Monocyte
CCR4,0.0562709625,0.99685036875,0.82473400769126,0.999482918316072,6_month,CD14+ Monocyte
CCR6,-0.671278555,1.4687670725,0.204853304634153,0.999482918316072,6_month,CD14+ Monocyte
CXCR5,-0.27329535,1.901742275,0.43062102016921,0.999482918316072,6_month,CD14+ Monocyte
ALAS2,-0.30072429825,0.183768375875,0.434828545204531,0.999482918316072,6_month,CD14+ Monocyte
CXCR4,0.851121825,5.4788424875,0.0689319405745007,0.997852891869193,6_month,CD16+ Monocyte
CCR4,0.23808505,0.119042525,0.391002218955771,0.997852891869193,6_month,CD16+ Monocyte
CCR6,0.53485455,0.352158325,0.235259831048584,0.997852891869193,6_month,CD16+ Monocyte
CXCR5,0.452525035,1.3364090925,0.403387922254393,0.997852891869193,6_month,CD16+ Monocyte
ALAS2,-0.154012075,0.0770060375,0.391002218955771,0.997852891869193,6_month,CD16+ Monocyte
CXCR4,0.14093375,7.347285375,0.599064641607483,0.999987227894048,6_month,CD8+ T Cell
CCR4,0.0287040125,1.31759899375,0.951625704520382,0.999987227894048,6_month,CD8+ T Cell
CCR6,-0.47271775,3.059349425,0.536643757604328,0.999987227894048,6_month,CD8+ T Cell
CXCR5,0.0965477750000001,1.3405563875,0.751640580734777,0.999987227894048,6_month,CD8+ T Cell
