gene,logFC,AveExpr,PValue,FDR,timepoint,cell_type
LAG3,-0.5438327,1.77736355,0.407980925463758,0.986743532407149,1_month,Naive CD4+ T Cell
GZMB,0.2418789,3.41724135,0.627915283590299,0.987663198556078,1_month,Naive CD4+ T Cell
CD40LG,0.245376775,3.5411265625,0.565283691582267,0.986743532407149,1_month,Naive CD4+ T Cell
CXCR4,0.0159759249999993,6.9016185875,0.875178497314657,0.988303492707099,1_month,Naive CD8+ T Cell
CTLA4,-0.110285025,2.1690008125,0.650288520657717,0.960974668213582,1_month,Naive CD8+ T Cell
PDCD1,-0.17413945,0.556148225,0.753657619572988,0.973436971404504,1_month,Naive CD8+ T Cell
CCR4,0.25194561,1.00834008,0.726666173399551,0.971312680823011,1_month,Naive CD8+ T Cell
TIGIT,-0.2965781425,1.64441384625,0.64506203684836,0.960974668213582,1_month,Naive CD8+ T Cell
GZMK,-1.84685504,1.50139208,0.0171643735930183,0.957982426504996,1_month,Naive CD8+ T Cell
GZMA,-0.3922291,0.809534125,0.508346402997212,0.957982426504996,1_month,Naive CD8+ T Cell
HAVCR2,-0.636556225,1.4884144625,0.223281385230126,0.957982426504996,1_month,Naive CD8+ T Cell
CCR6,-0.1721437975,0.51807996375,0.683711967321996,0.966277207798677,1_month,Naive CD8+ T Cell
ITGB1,-0.266967225,3.4223524125,0.444092648757585,0.957982426504996,1_month,Naive CD8+ T Cell
PRF1,0.06789735,2.306646425,0.755221903692328,0.973933427143135,1_month,Naive CD8+ T Cell
CXCR5,0.538362275,1.2167812375,0.239293366672891,0.957982426504996,1_month,Naive CD8+ T Cell
LAG3,-0.58083136,1.069678595,0.239091107902472,0.957982426504996,1_month,Naive CD8+ T Cell
GZMB,-0.000902219999999981,0.23203753,0.995649800830321,0.999826475896189,1_month,Naive CD8+ T Cell
CD40LG,0.442881075,1.0820650625,0.307588719832942,0.957982426504996,1_month,Naive CD8+ T Cell
CXCR4,0.15764515,6.740532975,0.637454532317634,0.957938672583037,1_month,NK Cell
CTLA4,-0.178733075,0.417641855,0.656652108440162,0.958170700463747,1_month,NK Cell
PDCD1,-0.22165555,0.231270175,0.467135023099616,0.948057230533761,1_month,NK Cell
CCR4,-0.13322468,0.1240118525,0.544457850057695,0.951386469899092,1_month,NK Cell
TIGIT,-0.1087106,3.6942136,0.802376417495678,0.97628747461724,1_month,NK Cell
GZMK,-0.743955775000001,4.1266626875,0.178777698414071,0.948001495010623,1_month,NK Cell
GZMA,-0.617547375,6.6282809375,0.27954441417322,0.948001495010623,1_month,NK Cell
HAVCR2,0.176060875,3.9708065125,0.18824053696879,0.948001495010623,1_month,NK Cell
CCR6,-0.2056781625,0.34440944375,0.445974255698588,0.948057230533761,1_month,NK Cell
ITGB1,-0.238533625,5.2624622375,0.341661849530818,0.948001495010623,1_month,NK Cell
PRF1,-0.314153650000001,6.597380925,0.613837090705895,0.957938672583037,1_month,NK Cell
CXCR5,-0.13414619,0.3223367775,0.509033021736571,0.948057230533761,1_month,NK Cell
LAG3,-1.34515195,1.804789925,0.216229954185897,0.948001495010623,1_month,NK Cell
GZMB,0.0749526749999996,7.2456297625,0.704418280347923,0.964507676104498,1_month,NK Cell
CD40LG,-0.13547754,0.60433197,0.81334756273662,0.977477354901052,1_month,NK Cell
CXCR4,-0.0345722249999998,7.0973798875,0.87579963871956,0.999920590709774,6_month,B Cell
CTLA4,-0.0180215824999999,1.29892423375,0.95910596666916,0.999920590709774,6_month,B Cell
PDCD1,-0.35227598,0.63555924,0.300341344366163,0.999920590709774,6_month,B Cell
CCR4,-0.10355275,0.9981975,0.756713383562554,0.999920590709774,6_month,B Cell
TIGIT,0.092064575,1.6419836625,0.70696832618375,0.999920590709774,6_month,B Cell
GZMK,-0.725720195,1.9745624025,0.181309613289947,0.999920590709774,6_month,B Cell
GZMA,-0.3475954,2.3629153,0.343459682867866,0.999920590709774,6_month,B Cell
HAVCR2,-0.00431625999999996,1.13578793,0.987134178278753,0.999920590709774,6_month,B Cell
CCR6,-0.121087425,3.4773009875,0.578884935309629,0.999920590709774,6_month,B Cell
ITGB1,-0.107002625,4.3355843125,0.759492431367991,0.999920590709774,6_month,B Cell
PRF1,0.1804828,1.89370275,0.710826445310831,0.999920590709774,6_month,B Cell
CXCR5,-0.0988091249999998,5.0265244875,0.728633698445157,0.999920590709774,6_month,B Cell
LAG3,-0.26234874,0.8224793225,0.341820277253669,0.999920590709774,6_month,B Cell
GZMB,0.3139735,2.332609225,0.366303214061398,0.999920590709774,6_month,B Cell
CD40LG,-0.21945168,1.25632048,0.585038486497135,0.999920590709774,6_month,B Cell
CXCR4,0.226643225,5.6063836125,0.490273773321891,0.999482918316072,6_month,CD14+ Monocyte
CTLA4,-0.2186885625,1.36233844375,0.418091000689997,0.999482918316072,6_month,CD14+ Monocyte
PDCD1,-0.0483214949999998,0.9999786225,0.90215263083171,0.999482918316072,6_month,CD14+ Monocyte
CCR4,0.0562709625,0.99685036875,0.82473400769126,0.999482918316072,6_month,CD14+ Monocyte
TIGIT,0.157820375,0.7528797875,0.518371893519982,0.999482918316072,6_month,CD14+ Monocyte
GZMK,-0.6415057,1.69032665,0.261968722475826,0.999482918316072,6_month,CD14+ Monocyte
GZMA,-0.1190925,2.272753925,0.827447531561299,0.999482918316072,6_month,CD14+ Monocyte
HAVCR2,0.1284337,4.5777644,0.514733330948015,0.999482918316072,6_month,CD14+ Monocyte
CCR6,-0.671278555,1.4687670725,0.204853304634153,0.999482918316072,6_month,CD14+ Monocyte
ITGB1,0.0484363749999996,5.3701589125,0.759100405704008,0.999482918316072,6_month,CD14+ Monocyte
PRF1,0.39954955,2.264995925,0.245794766768605,0.999482918316072,6_month,CD14+ Monocyte
