gene,logFC,AveExpr,t,PValue,FDR,B,DE_status,timepoint,cell_type
CXCR5,0.246640749886993,1.10074490733333,0.85164888954953,0.408245060812641,0.973152052223568,-4.66287043529032,NS,6_month,CD16+ Monocyte
ALAS2,0.100600151678967,0.226550038,0.3799672576477,0.709473441240515,0.980787881140243,-4.75231799816849,NS,6_month,CD16+ Monocyte
CCR4,-0.0640745357103321,0.362579162666667,-0.304855773768622,0.76480488493621,0.984216761785257,-4.76052920977249,NS,6_month,CD16+ Monocyte
CCR6,-0.453770652421585,2.99152592,-1.25121375517545,0.232845798555958,0.997131530178956,-4.54766412352572,NS,6_month,CD8+ T Cell
ALAS2,-0.305152241499077,0.543818409333333,-0.654329217200965,0.524276403783465,0.997131530178956,-4.79663496686889,NS,6_month,CD8+ T Cell
CCR4,-0.158439344153597,1.420009308,-0.589769530516342,0.565427876873594,0.997131530178956,-4.81545458576348,NS,6_month,CD8+ T Cell
CXCR4,0.0944351008994486,7.287075,0.806533680908967,0.434403325393111,0.997131530178956,-4.74543317524208,NS,6_month,CD8+ T Cell
CXCR5,0.0817564879381918,1.50278421333333,0.389569352828094,0.703144965911778,0.997131530178956,-4.86213903572169,NS,6_month,CD8+ T Cell
CCR6,-0.39366681326107,1.55116011533333,-1.0113070263881,0.326346109765213,0.990958048638503,-4.60123911209154,NS,6_month,cDC2
CXCR4,0.3672005087869,6.46027372666667,2.63455151597675,0.0176069965484995,0.990958048638503,-4.23048428740082,NS,6_month,cDC2
CXCR5,0.297889970364391,0.85920059,0.742049270387196,0.4684004395323,0.990958048638503,-4.64087690134428,NS,6_month,cDC2
ALAS2,-0.121311926037823,0.0648192866666667,-0.711433563485118,0.486667550798544,0.990958048638503,-4.64471613035866,NS,6_month,cDC2
CCR4,-0.00371724999999998,0.32410252,-0.0101561612749819,0.992017434223704,0.999318139837501,-4.68969414239459,NS,6_month,cDC2
CCR6,-0.334028539695572,1.70021097466667,-0.86102787359034,0.404449780712038,0.999732256624322,-4.75067022579782,NS,6_month,Lymphocyte
CXCR4,0.119453986369925,6.7086234,1.16582644897108,0.264128053818865,0.999732256624322,-4.60242944496278,NS,6_month,Lymphocyte
CXCR5,0.0873862710562736,1.93550517333333,0.404325608736947,0.692387974713653,0.999732256624322,-4.89854184533806,NS,6_month,Lymphocyte
ALAS2,0.0470318808602397,1.01028635266667,0.0913960858651213,0.928537539950743,0.999732256624322,-4.93986917472926,NS,6_month,Lymphocyte
CCR4,0.0372900805581178,1.81631061333333,0.172057303033228,0.86597809635862,0.999732256624322,-4.93416524874582,NS,6_month,Lymphocyte
CCR4,0.327576698962176,4.0745878,2.25231958245039,0.0416872577399184,0.998458957945343,-3.89688562066341,NS,6_month,Memory CD4+ T Cell
ALAS2,-0.313816661293819,0.240916187333333,-1.48897811629533,0.159681350085056,0.998458957945343,-4.41320571564272,NS,6_month,Memory CD4+ T Cell
CCR6,-0.136216455650368,4.55622763333333,-0.813056845729945,0.430415735832892,0.998458957945343,-4.76137598605314,NS,6_month,Memory CD4+ T Cell
CXCR4,0.127765163607013,7.05159727333333,1.44932711785827,0.170276988823664,0.998458957945343,-4.43739238407399,NS,6_month,Memory CD4+ T Cell
CXCR5,-0.031441606365314,2.66540758666667,-0.169173878542644,0.868190695095948,0.998458957945343,-4.92029656190686,NS,6_month,Memory CD4+ T Cell
CCR6,-0.786439389921585,3.62889837333333,-2.63337500667135,0.0161941088790155,0.882359719149873,-3.59082700007893,NS,6_month,Naive CD4+ T Cell
CCR4,-0.267999159202029,3.38339292,-1.16776417847233,0.257058661071264,0.931379778810419,-4.58981152003067,NS,6_month,Naive CD4+ T Cell
CXCR5,-0.319215695641144,2.37944716,-0.855772827380617,0.402573174805614,0.952377148179175,-4.72991808583924,NS,6_month,Naive CD4+ T Cell
ALAS2,-0.64253861005535,1.47161170666667,-0.732045488704401,0.472895357958619,0.960465246435679,-4.77491746017426,NS,6_month,Naive CD4+ T Cell
CXCR4,0.0304439641374579,6.55176858,0.21429457993504,0.832554438785295,0.982754868004364,-4.89020000847084,NS,6_month,Naive CD4+ T Cell
CCR4,-0.422578884434963,0.818112692666667,-0.922704883210301,0.371678517599972,0.984783263195604,-4.64093321614288,NS,6_month,Naive CD8+ T Cell
CCR6,-0.341938092546125,0.438082926,-1.94823606908811,0.0715711056880986,0.984783263195604,-4.28599757832948,NS,6_month,Naive CD8+ T Cell
CXCR5,0.216474675599631,1.31176947733333,0.899458672900599,0.383509967599652,0.984783263195604,-4.64691819072137,NS,6_month,Naive CD8+ T Cell
ALAS2,-0.129244740214483,0.056920038,-1.26863860476989,0.225111416426203,0.984783263195604,-4.53854938268805,NS,6_month,Naive CD8+ T Cell
CXCR4,0.0840034520295205,6.90579562666667,1.03691062103988,0.317230913470053,0.984783263195604,-4.60978984760306,NS,6_month,Naive CD8+ T Cell
ALAS2,-0.50217970751845,0.356570282666667,-1.88539787362064,0.0804588611046074,0.869795894804921,-4.20456208712344,NS,6_month,NK Cell
CCR6,-0.401061729677122,0.480365618666667,-2.56977692106773,0.0223492694907466,0.869795894804921,-3.79244333805694,NS,6_month,NK Cell
CXCR4,0.284225708233393,6.66666194666667,1.37389755314856,0.191231415938603,0.871574119094639,-4.48397263314738,NS,6_month,NK Cell
CCR4,-0.0722868323800738,0.0773590333333333,-0.673312404536331,0.511792372110344,0.92495506819588,-4.76550225295493,NS,6_month,NK Cell
CXCR5,-0.0383242090521219,0.478511863333333,-0.227631980116624,0.82324756276237,0.971337905011931,-4.85251865010477,NS,6_month,NK Cell
