gene,logFC,AveExpr,t,PValue,FDR,B,DE_status,timepoint,cell_type
ITGB1,0.0708184841036985,5.39924974666667,0.440183128809249,0.666975909874185,0.972716857798239,-4.82958324696066,NS,1_month,CD8 T Cell
HAVCR2,0.112061333460611,1.98180726,0.419785349855804,0.681441391283316,0.974288510938109,-4.83352658119642,NS,1_month,CD8 T Cell
CCR6,-0.167074676507236,2.74644071333333,-0.416209091999911,0.6839913217687,0.974837145789354,-4.83419949456252,NS,1_month,CD8 T Cell
CD40LG,0.0911706076366565,2.82089324,0.301890117029311,0.767472443548705,0.983537228114785,-4.85277017236794,NS,1_month,CD8 T Cell
ISG15,-0.0502953880827972,4.39685428666667,-0.22278573572351,0.827136384684413,0.98938832178241,-4.86222850246026,NS,1_month,CD8 T Cell
GZMB,0.0413525470056282,5.76046905333333,0.154605184805335,0.879487825562371,0.991902058116864,-4.86811585958131,NS,1_month,CD8 T Cell
IFIT3,0.895897770659164,1.11492279333333,2.15589371671707,0.0481617507151259,0.932135200685396,-4.40397379523195,NS,1_month,cDC2
CXCR5,-0.76902424375,1.05574288,-1.59269603299344,0.132582433000968,0.932135200685396,-4.50794798141981,NS,1_month,cDC2
GZMK,0.599458011515273,0.645021986666667,1.35041521872711,0.197387346590858,0.932135200685396,-4.54871028174895,NS,1_month,cDC2
HAVCR2,-0.596226742684887,4.23751974666667,-3.23273201753785,0.00572558307157552,0.932135200685396,-4.20450028696238,NS,1_month,cDC2
GZMB,0.465090922226688,5.5098891,1.67279196905693,0.115592883199085,0.932135200685396,-4.49378213231953,NS,1_month,cDC2
IFIT2,0.437939863826367,3.12455142666667,0.984489776240124,0.340864428729283,0.932135200685396,-4.60213384432003,NS,1_month,cDC2
TNF,0.424954165755626,1.24280664666667,0.966409111250536,0.349531925649928,0.932135200685396,-4.60445710098754,NS,1_month,cDC2
TIGIT,0.407062420217042,0.613468004,0.992622367302469,0.337015805059794,0.932135200685396,-4.60107806635281,NS,1_month,cDC2
LAG3,0.378215652351286,0.310260654,1.28008793482948,0.220424175530499,0.932135200685396,-4.55983206828054,NS,1_month,cDC2
ALAS2,-0.377211152411575,0.153349893333333,-1.39317960948908,0.184356832704792,0.932135200685396,-4.54177722642121,NS,1_month,cDC2
CCR6,-0.251426035192926,1.524113324,-0.664210385910752,0.516879853424536,0.943281262911367,-4.63797232792842,NS,1_month,cDC2
CD40LG,0.0957918975884244,0.07323627,0.647337685889095,0.527433187119658,0.943281262911367,-4.63952540091797,NS,1_month,cDC2
ITGB1,0.0747356347668813,4.44841273333333,0.496233956030335,0.62709574275252,0.959747315047186,-4.6518005536631,NS,1_month,cDC2
PRF1,-0.118348203476688,0.686320417333333,-0.406464618283097,0.690280183874329,0.971598870614122,-4.65764896422689,NS,1_month,cDC2
PDCD1,-0.116301145265273,0.509068294666667,-0.39583894363038,0.697931891697437,0.971598870614122,-4.65826769706388,NS,1_month,cDC2
CCR4,0.0675745383842443,0.104995533333333,0.375841474007353,0.712424229594305,0.971598870614122,-4.65938939354867,NS,1_month,cDC2
